"Time","Type","Expected Value","CVaR","Trading Cost","Maximum Value","Minimum Value","LQD","IEF","IAU","MDY","VDE","EZA","IDU","FXI","VDC","RWR","IYF","VO","IBB","EWM","VNQ"
"2009-03-25","risk_averse",826672.86,2739.96,333.53,880253.37,803437.12,113640.43,596708.76,22563.16,0.00,4814.21,12696.79,625.50,5550.49,22244.31,3716.10,5021.52,3605.13,17505.44,17570.41,0.00
"2009-03-25","risk_neutral",666999.14,33511.13,0.00,946117.69,472598.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,661760.62,0.00,3716.10,0.00,0.00,0.00,0.00,0.00
"2009-04-22","risk_averse",823394.61,3550.25,0.00,878425.16,807584.90,117166.90,588696.33,21826.61,0.00,4768.33,12518.60,609.16,5835.75,22020.00,4506.61,5600.93,3803.48,16287.35,19211.60,0.00
"2009-04-22","risk_neutral",702615.26,35593.83,0.00,993187.12,462150.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,695770.20,0.00,4506.61,0.00,0.00,0.00,0.00,0.00
"2009-05-20","risk_averse",816518.25,3543.42,0.00,878421.47,795324.91,118374.93,572298.79,23054.20,0.00,5204.24,14666.59,619.85,6391.53,23453.10,4620.12,6017.47,3921.79,16821.87,20539.03,0.00
"2009-05-20","risk_neutral",769384.58,37025.67,0.00,1099107.26,577962.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,762034.02,0.00,4620.12,0.00,0.00,0.00,0.00,0.00
"2009-06-17","risk_averse",798788.45,3735.44,0.00,849594.31,774501.41,119399.93,550559.64,22514.06,0.00,5355.21,14773.50,677.95,6838.74,23964.04,4599.85,6105.39,4054.03,18171.01,21263.09,0.00
"2009-06-17","risk_neutral",823226.62,41441.96,0.00,1173096.04,570310.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,815352.27,0.00,4599.85,0.00,0.00,0.00,0.00,0.00
"2009-07-15","risk_averse",817257.04,3758.23,0.00,853453.48,793726.59,122487.12,562609.34,22587.71,0.00,5195.35,15583.45,680.88,7127.67,24823.90,4628.23,6285.55,4160.16,18448.55,22204.36,0.00
"2009-07-15","risk_neutral",858304.17,41801.51,0.00,1228997.73,671569.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,849800.68,0.00,4628.23,0.00,0.00,0.00,0.00,0.00
"2009-08-12","risk_averse",826877.02,3451.70,0.00,875984.82,806590.95,125854.97,560373.31,23005.10,0.00,5561.69,16130.98,708.52,7688.98,25409.60,5709.28,7297.35,4652.56,19825.96,24014.50,0.00
"2009-08-12","risk_neutral",927133.41,35116.61,0.00,1160723.29,556965.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,916722.76,0.00,5709.28,0.00,0.00,0.00,0.00,0.00
"2009-09-09","risk_averse",844553.90,3943.38,0.00,901800.06,811235.65,128441.87,569876.43,24011.72,0.00,5818.50,17673.13,707.10,7836.21,26269.47,5976.84,7454.46,4833.51,20681.70,24328.26,0.00
"2009-09-09","risk_neutral",945147.44,46476.51,0.00,1354561.16,701736.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,934276.09,0.00,5976.84,0.00,0.00,0.00,0.00,0.00
"2009-10-07","risk_averse",854822.55,3982.41,207.60,905721.41,821172.34,127953.77,505884.45,25460.28,0.00,6158.94,666.87,709.12,7863.81,114753.13,6084.94,7672.09,4990.98,20334.78,25631.56,0.00
"2009-10-07","risk_neutral",948320.57,44933.02,0.00,1309775.89,611117.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,937567.34,0.00,6084.94,0.00,0.00,0.00,0.00,0.00
"2009-11-04","risk_averse",844423.74,3640.97,0.00,887120.49,815523.70,128173.42,494043.56,26270.49,0.00,6228.50,628.97,703.07,8136.18,115491.66,5968.73,7337.71,4906.59,19671.77,26162.53,0.00
"2009-11-04","risk_neutral",980964.44,46272.30,0.00,1394953.89,677668.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,970041.01,0.00,5968.73,0.00,0.00,0.00,0.00,0.00
"2009-12-02","risk_averse",860506.26,3450.92,251.82,884757.88,837095.77,129649.90,448664.56,76761.49,35690.89,6140.43,659.81,741.90,8222.68,68902.95,6397.09,7383.83,5023.17,38950.08,26524.56,0.00
"2009-12-02","risk_neutral",991584.83,47162.89,0.00,1403956.52,679303.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,980353.59,0.00,6397.09,0.00,0.00,0.00,0.00,0.00
"2009-12-30","risk_averse",835368.22,3471.46,0.00,875233.82,804813.12,127087.41,433402.53,69395.49,37346.44,6170.04,658.75,754.41,7777.31,66936.34,6649.79,7463.10,5215.43,40116.86,25631.56,0.00
"2009-12-30","risk_neutral",938174.46,41994.84,0.00,1308359.08,613025.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,927254.76,0.00,6649.79,0.00,0.00,0.00,0.00,0.00
"2010-01-27","risk_averse",841521.63,2486.53,637.23,892759.70,792983.66,45809.54,729342.38,1007.08,4913.52,6013.88,624.38,726.57,7087.18,16457.42,6298.45,7386.72,5111.03,5969.06,4464.02,0.00
"2010-01-27","risk_neutral",854449.74,40888.08,0.00,1215830.38,620133.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,844973.52,0.00,6298.45,0.00,0.00,0.00,0.00,0.00
"2010-02-24","risk_averse",844937.14,4479.77,456.50,891919.90,814695.48,183820.35,502785.84,1024.10,5094.69,6039.04,623.68,720.12,7175.52,107272.16,6617.36,7542.38,5276.32,6101.81,4514.89,0.00
"2010-02-24","risk_neutral",864002.68,42393.09,0.00,1208557.37,552009.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,855505.52,0.00,6617.36,0.00,0.00,0.00,0.00,0.00
"2010-03-24","risk_averse",844757.01,3661.68,0.00,882621.11,813668.93,184854.82,494791.01,1009.92,5428.53,6067.17,686.06,721.73,7365.08,110821.90,7382.20,8238.53,5632.14,6577.52,4790.44,0.00
"2010-03-24","risk_neutral",887871.11,42112.62,0.00,1206793.09,567695.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,878105.43,0.00,7382.20,0.00,0.00,0.00,0.00,0.00
"2010-04-21","risk_averse",853734.90,3999.68,0.00,893383.38,820968.41,186415.29,498732.91,1058.14,5796.56,6574.12,702.54,748.66,7762.59,111649.64,7743.00,8668.04,6000.13,6456.98,5082.96,0.00
"2010-04-21","risk_neutral",936340.85,36010.22,0.00,1246650.46,603775.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,925499.43,0.00,7743.00,0.00,0.00,0.00,0.00,0.00
"2010-05-19","risk_averse",860697.23,3073.19,166.34,906960.66,833301.05,186713.36,601665.89,1095.97,5098.48,5620.90,606.02,698.93,6812.97,21891.55,6956.54,7385.27,5237.18,5802.60,4731.09,0.00
"2010-05-19","risk_neutral",821836.37,35453.86,0.00,1157020.14,564206.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,812280.44,0.00,6956.54,0.00,0.00,0.00,0.00,0.00
"2010-06-16","risk_averse",866529.24,3906.52,0.00,921950.09,837136.30,186748.43,603856.34,1153.65,5353.33,5993.16,679.00,744.22,7475.50,22276.31,7652.46,7679.30,5594.73,5956.87,4887.95,0.00
