,AGG,IAU,XLK,EWS,XLU,EWJ,IYZ,VUG,EWM,VNQ
2005-02-02,103.03,4.27,19.78,7.26,28.12,10.59,23.0,49.27,7.26,51.77
2005-02-09,102.65,4.17,19.92,7.25,28.82,10.54,23.38,49.95,7.21,52.79
2005-02-16,102.91,4.18,19.99,7.38,29.07,10.52,23.16,50.13,7.25,54.25
2005-02-23,102.7,4.27,19.92,7.46,29.32,10.54,23.02,50.47,7.2,54.94
2005-03-02,102.39,4.34,19.88,7.43,28.69,10.58,23.26,50.25,7.11,52.74
2005-03-09,101.8,4.31,19.99,7.46,29.25,10.81,23.6,50.66,7.0,53.84
2005-03-16,101.16,4.42,20.15,7.55,29.38,11.03,23.39,50.63,7.08,53.61
2005-03-23,101.27,4.39,19.56,7.5,29.47,10.88,22.93,49.83,7.07,53.6
2005-03-30,100.84,4.25,19.37,7.34,28.72,10.71,22.65,49.32,6.85,51.5
2005-04-06,100.93,4.29,19.56,7.24,29.15,10.49,22.9,49.42,6.79,51.82
2005-04-13,101.0,4.26,19.73,7.43,29.68,10.61,23.31,49.84,6.69,52.24
2005-04-20,101.7,4.24,19.05,7.33,29.53,10.28,22.99,48.67,6.78,52.31
2005-04-27,101.89,4.32,19.05,7.3,29.53,10.2,22.71,48.44,6.76,52.74
2005-05-04,102.49,4.31,18.7,7.25,29.63,10.07,22.86,47.81,6.75,54.09
2005-05-11,102.1,4.3,19.08,7.44,29.89,10.45,22.7,49.04,7.13,55.6
2005-05-18,102.16,4.22,19.12,7.45,29.65,10.16,22.49,48.79,7.03,55.32
2005-05-25,102.25,4.2,20.0,7.42,29.88,10.16,22.99,50.38,6.94,57.35
2005-06-01,102.62,4.17,20.34,7.4,29.92,10.1,23.08,50.81,6.8,55.86
2005-06-08,103.17,4.21,20.47,7.43,30.38,10.25,23.28,51.24,6.76,57.19
2005-06-15,103.0,4.23,20.28,7.57,30.61,10.23,23.3,51.05,6.93,58.42
2005-06-22,102.63,4.34,20.29,7.53,30.73,10.28,23.6,51.28,7.03,59.24
2005-06-29,103.16,4.41,20.24,7.62,31.34,10.24,23.3,50.86,7.05,59.05
2005-07-06,103.38,4.35,19.92,7.57,31.56,10.14,23.4,50.57,6.92,58.7
2005-07-13,102.59,4.24,20.09,7.48,31.62,10.09,23.4,50.68,7.02,59.86
2005-07-20,102.24,4.19,21.04,7.67,32.03,10.19,23.88,52.13,7.23,60.23
2005-07-27,101.8,4.25,21.01,8.19,31.62,10.39,23.6,52.43,7.59,60.77
2005-08-03,102.3,4.28,21.16,8.15,32.26,10.32,24.18,53.13,7.41,62.97
2005-08-10,101.6,4.37,21.21,8.14,32.47,10.33,24.2,52.77,7.49,62.08
2005-08-17,101.54,4.45,21.07,8.13,31.77,10.97,24.11,52.72,7.49,59.38
2005-08-24,102.05,4.39,20.74,7.95,31.45,10.9,23.85,52.01,7.27,59.36
2005-08-31,102.24,4.38,20.67,7.9,32.2,11.1,23.67,51.72,7.35,59.86
2005-09-07,102.65,4.42,20.8,7.95,32.99,11.23,23.88,51.98,7.28,60.88
2005-09-14,102.22,4.47,21.03,7.96,33.04,11.19,23.9,52.47,7.28,61.49
2005-09-21,101.94,4.55,20.85,8.0,33.54,11.62,23.78,52.12,7.32,61.12
2005-09-28,102.05,4.64,20.56,7.92,32.6,11.76,23.45,51.52,7.28,59.29
2005-10-05,101.6,4.72,20.76,8.03,33.63,12.39,23.45,51.73,7.32,59.5
2005-10-12,101.1,4.73,20.16,7.73,31.99,11.62,22.99,50.67,7.21,58.25
2005-10-19,100.53,4.7,19.93,7.91,30.51,11.95,22.32,50.25,7.27,55.65
2005-10-26,100.82,4.6,20.05,7.5,29.95,11.5,22.07,50.63,7.1,56.45
2005-11-02,100.38,4.73,20.02,7.43,30.44,11.81,22.73,50.49,7.07,56.7
2005-11-09,99.45,4.6,20.8,7.79,30.93,12.36,23.23,52.3,7.21,57.77
2005-11-16,99.99,4.65,21.1,7.66,30.92,12.22,23.4,52.99,7.14,59.58
2005-11-23,100.15,4.85,21.43,7.77,31.23,12.48,23.38,53.73,7.03,60.38
2005-11-30,100.71,4.95,21.86,7.84,31.75,12.52,24.04,54.6,7.15,62.16
2005-12-07,99.7,5.02,22.04,7.96,31.52,12.75,24.13,54.66,7.05,62.04
2005-12-14,100.3,5.2,21.74,7.93,31.64,12.66,23.77,54.27,7.05,61.44
2005-12-21,100.3,5.02,21.75,8.05,32.6,13.1,23.86,54.83,7.09,61.59
2005-12-28,100.62,5.02,21.35,8.1,31.78,13.68,23.17,54.61,7.11,61.8
2006-01-04,100.47,5.16,21.04,7.87,31.56,13.61,22.96,53.79,6.83,59.73
2006-01-11,100.88,5.24,21.66,8.22,31.84,13.98,23.27,54.71,6.93,61.68
2006-01-18,100.75,5.45,22.14,8.26,31.98,14.05,23.51,55.37,7.1,63.09
2006-01-25,101.05,5.56,21.84,8.21,32.9,13.6,23.49,55.25,7.05,62.83
2006-02-01,100.37,5.58,21.47,8.3,32.21,13.83,23.63,54.59,7.19,63.22
2006-02-08,99.95,5.71,21.43,8.33,31.82,13.77,23.86,54.48,7.18,63.9
2006-02-15,100.15,5.62,21.47,8.42,31.76,13.64,24.1,53.97,7.27,63.1
2006-02-22,99.86,5.46,22.05,8.36,32.01,13.59,25.21,55.01,7.36,64.59
2006-03-01,100.24,5.47,21.69,8.39,32.43,13.56,25.08,54.69,7.37,65.82
2006-03-08,99.7,5.68,22.13,8.62,32.46,13.72,25.29,55.03,7.38,65.54
2006-03-15,99.12,5.44,21.62,8.56,31.51,13.52,25.25,54.2,7.33,66.44
2006-03-22,99.82,5.53,22.04,8.67,32.47,13.79,25.88,55.43,7.37,69.06
2006-03-29,99.4,5.48,22.02,8.61,31.55,13.92,25.8,55.14,7.43,67.65
2006-04-05,98.75,5.86,22.27,8.74,31.06,14.45,25.9,55.35,7.48,67.78
2006-04-12,98.72,5.94,22.52,8.88,31.11,14.78,25.96,55.77,7.64,66.38
2006-04-19,98.21,5.97,22.1,8.92,30.24,14.48,25.45,54.84,7.56,63.75
2006-04-26,98.24,6.11,22.3,9.12,31.11,14.69,25.36,55.72,7.72,65.99
2006-05-03,98.33,6.3,22.32,9.26,31.19,14.86,25.61,55.35,7.75,65.37
2006-05-10,97.77,6.77,21.8,9.58,31.47,15.13,25.54,55.18,7.94,65.19
2006-05-17,97.8,7.13,21.18,9.42,31.61,15.03,25.4,54.85,8.03,64.83
2006-05-24,98.26,6.76,20.45,8.98,30.83,14.36,24.56,52.92,7.74,62.94
2006-05-31,98.0,6.48,20.66,8.75,31.29,14.1,24.84,53.34,7.59,63.5
2006-06-07,97.52,6.27,20.78,8.62,32.15,14.06,25.4,53.9,7.61,65.01
2006-06-14,98.23,6.09,20.02,8.14,32.2,12.91,25.0,52.25,7.29,65.61
2006-06-21,97.82,5.72,20.22,8.45,32.4,13.05,25.18,52.45,7.2,65.37
2006-06-28,97.17,5.78,20.09,8.38,31.61,13.0,24.84,52.12,7.22,64.74
2006-07-05,97.45,5.96,20.44,8.7,32.17,13.53,25.32,52.93,7.33,65.8
2006-07-12,97.0,6.3,20.18,8.84,32.26,13.54,25.54,52.73,7.37,67.58
2006-07-19,97.75,6.56,19.15,8.44,32.66,12.96,24.64,50.99,7.28,67.2
2006-07-26,98.08,6.26,19.2,8.45,33.38,12.76,24.88,50.85,7.22,67.76
2006-08-02,98.31,6.3,19.49,8.74,33.76,13.22,25.99,51.24,7.46,68.12
2006-08-09,98.29,6.42,19.82,8.81,34.06,13.56,26.26,51.98,7.45,69.04
2006-08-16,98.64,6.33,19.82,8.91,33.95,13.58,26.02,51.58,7.55,68.04
2006-08-23,98.94,6.12,20.75,9.03,33.96,13.96,26.27,53.1,7.53,69.08
2006-08-30,99.22,6.18,20.68,8.86,34.31,13.74,26.26,52.63,7.59,70.01
2006-09-06,99.55,6.23,21.19,9.07,34.77,13.71,26.81,53.38,7.71,71.28
2006-09-13,99.04,6.13,20.92,9.17,34.35,13.7,26.79,52.85,7.75,70.67
2006-09-20,99.28,5.72,21.69,9.19,33.98,13.42,27.58,54.1,7.68,72.51
2006-09-27,100.0,5.8,21.73,9.25,33.59,13.39,27.73,54.18,7.73,72.14
2006-10-04,100.11,5.98,22.07,9.33,34.33,13.56,27.42,54.96,7.78,72.07
2006-10-11,99.9,5.7,22.29,9.69,34.41,13.86,27.81,55.7,7.8,73.88
2006-10-18,99.34,5.76,22.7,9.84,34.51,13.69,28.27,56.05,7.91,74.24
2006-10-25,99.47,5.95,22.62,9.88,35.39,13.8,28.33,56.15,7.92,75.2
2006-11-01,99.84,5.92,23.06,10.32,35.9,14.08,29.23,57.06,7.98,76.29
2006-11-08,100.07,6.2,22.63,10.23,35.84,13.78,28.63,56.19,8.17,74.31
2006-11-15,100.1,6.3,23.03,10.38,35.64,13.46,28.45,56.73,8.41,73.72
2006-11-22,100.06,6.13,23.6,10.63,36.0,13.53,28.26,58.04,8.52,75.74
2006-11-29,100.69,6.35,23.76,10.78,36.2,13.21,28.32,58.28,8.84,80.01
2006-12-06,101.07,6.44,23.52,10.97,36.74,13.81,28.52,58.0,9.05,79.99
2006-12-13,100.73,6.28,23.39,11.11,36.88,14.1,28.91,58.32,9.31,79.21
2006-12-20,100.33,6.21,23.69,11.23,37.31,14.15,29.49,58.72,9.27,78.94
2006-12-27,100.6,6.14,23.22,10.9,36.7,14.08,29.23,58.13,8.92,77.37
2007-01-03,99.71,6.3,23.33,11.16,36.73,14.19,29.59,58.05,9.1,76.64
2007-01-10,100.12,6.18,23.69,11.42,36.77,14.35,29.6,58.23,9.4,77.22
2007-01-17,99.81,6.08,23.96,11.05,36.17,13.87,29.43,59.12,9.36,78.86
2007-01-24,99.88,6.22,23.39,11.4,36.04,14.09,29.62,58.96,9.79,80.1
2007-01-31,99.54,6.41,23.34,11.54,36.34,14.22,30.17,58.85,9.99,82.15
2007-02-07,99.29,6.53,23.63,11.91,36.9,14.5,30.68,59.66,10.22,84.09
2007-02-14,99.96,6.56,23.8,12.17,37.91,14.23,30.81,59.88,10.8,86.6
2007-02-21,100.14,6.65,23.95,12.31,38.17,14.92,30.96,60.25,10.86,85.7
2007-02-28,100.05,6.73,24.0,12.44,38.23,14.91,31.04,60.44,10.95,85.4
2007-03-07,100.44,6.59,23.07,11.39,38.65,14.69,30.46,58.13,9.81,80.68
2007-03-14,100.51,6.46,22.94,11.81,38.25,14.68,30.18,57.96,10.05,79.25
2007-03-21,100.57,6.41,22.99,11.78,38.74,14.42,30.25,57.65,9.9,79.89
2007-03-28,100.55,6.58,23.63,12.38,39.66,14.88,31.33,59.3,10.59,81.16
2007-04-04,100.35,6.57,23.37,12.4,40.11,14.67,31.13,58.42,10.79,78.23
2007-04-11,99.92,6.7,23.86,12.96,40.7,14.68,31.61,59.61,11.32,80.07
2007-04-18,99.75,6.71,23.87,13.04,40.73,14.63,31.53,59.86,11.53,78.81
2007-04-25,100.19,6.76,24.09,12.71,41.25,14.58,31.96,60.71,11.5,79.8
2007-05-02,100.14,6.69,24.63,13.08,42.16,14.47,32.08,61.61,11.64,80.75
2007-05-09,99.94,6.76,24.91,13.34,42.17,14.38,32.61,61.76,11.94,79.39
2007-05-16,100.11,6.61,24.92,13.17,42.0,14.43,32.64,61.36,11.81,78.19
2007-05-23,99.74,6.52,25.18,13.6,42.6,14.29,33.27,62.05,12.15,75.31
2007-05-30,99.41,6.48,24.98,13.46,41.08,14.34,33.63,61.7,11.69,74.12
2007-06-06,99.22,6.56,25.65,13.69,41.84,14.6,34.63,63.14,11.94,78.95
2007-06-13,97.83,6.54,24.99,13.12,39.0,14.59,33.56,61.41,11.54,75.15
2007-06-20,97.54,6.46,25.65,13.72,40.18,14.51,34.12,62.85,11.79,74.43
2007-06-27,97.85,6.45,25.82,14.09,39.46,14.57,33.98,63.02,12.14,72.4
2007-07-04,98.17,6.44,25.69,13.6,39.27,14.37,33.8,62.31,11.72,71.22
2007-07-11,97.68,6.45,26.1,13.7,40.07,14.7,34.45,63.31,12.0,73.48
2007-07-18,97.78,6.6,26.59,14.26,40.15,14.71,34.78,64.35,12.03,72.26
2007-07-25,98.17,6.71,26.9,14.03,41.15,14.67,35.01,64.69,12.01,72.19
2007-08-01,98.83,6.57,26.2,13.46,38.7,14.4,33.66,62.27,11.54,66.31
2007-08-08,98.28,6.59,25.85,13.45,39.28,14.25,33.84,62.17,11.6,67.04
2007-08-15,98.46,6.55,25.6,13.04,39.7,14.12,32.03,61.3,10.99,68.95
2007-08-22,98.67,6.46,24.59,12.05,38.3,13.7,31.29,59.14,10.22,66.1
2007-08-29,99.3,6.53,25.4,13.15,39.37,13.9,32.77,61.1,11.13,68.8
2007-09-05,99.76,6.59,25.87,13.06,38.68,13.77,32.94,61.55,10.98,68.35
2007-09-12,99.58,6.9,26.29,13.55,39.3,13.73,33.18,62.65,11.24,69.32
2007-09-19,99.83,7.02,26.0,14.02,39.71,13.54,32.67,62.66,11.43,69.47
2007-09-26,99.42,7.28,26.57,14.12,40.54,13.75,33.67,64.02,11.53,71.33
2007-10-03,99.87,7.27,27.07,14.94,40.43,14.35,34.03,64.84,11.87,72.23
2007-10-10,99.51,7.31,27.11,15.22,40.58,14.46,34.16,65.19,12.11,74.93
2007-10-17,99.64,7.4,27.44,15.6,41.4,14.52,33.68,66.08,12.33,75.25
2007-10-24,100.27,7.6,27.81,15.49,40.64,14.17,33.19,66.1,12.39,72.16
2007-10-31,100.85,7.62,27.57,15.1,40.98,13.9,32.15,65.5,12.34,70.6
2007-11-07,100.44,7.81,28.09,15.13,41.58,14.18,31.3,65.59,12.59,69.55
2007-11-14,100.45,8.21,26.52,14.58,42.26,13.58,30.44,64.26,12.7,66.49
2007-11-21,101.06,7.8,25.95,13.84,41.67,13.56,29.43,63.14,12.37,67.4
2007-11-28,101.25,8.15,25.78,13.69,41.92,13.64,28.5,62.8,12.32,64.25
2007-12-05,101.79,7.84,26.4,14.21,42.45,14.04,29.04,64.5,12.47,64.3
2007-12-12,101.44,7.94,26.87,14.87,43.95,14.38,29.89,65.87,13.16,67.81
2007-12-19,100.66,7.89,26.93,14.23,44.0,13.8,29.74,65.17,12.9,64.42
2007-12-26,101.18,7.88,26.8,13.18,43.24,13.22,29.63,64.19,12.07,61.16
2008-01-02,100.6,8.16,26.99,13.47,42.61,13.11,29.86,64.97,12.73,62.05
2008-01-09,101.92,8.56,26.16,13.5,42.03,13.28,29.0,63.83,12.78,59.36
2008-01-16,102.07,8.84,24.64,13.41,43.44,13.0,28.13,61.68,13.9,57.34
2008-01-23,103.27,8.67,23.5,12.1,40.6,12.18,26.43,58.06,12.97,55.82
2008-01-30,102.84,9.02,23.2,12.37,38.6,12.28,24.97,58.55,12.68,60.3
2008-02-06,103.51,9.15,23.25,12.18,39.22,12.72,26.26,59.31,13.07,60.98
2008-02-13,102.26,8.99,22.47,11.85,39.31,12.27,25.05,57.82,12.97,61.07
2008-02-20,102.0,8.98,22.8,12.23,39.3,12.29,25.49,59.06,13.26,58.92
2008-02-27,102.13,9.34,22.51,12.36,38.74,12.39,23.8,58.8,12.79,58.0
2008-03-05,102.54,9.59,22.61,12.58,38.75,12.68,24.38,60.11,12.79,59.9
2008-03-12,101.29,9.65,22.02,11.87,37.94,12.19,23.22,57.93,11.98,56.98
2008-03-19,102.12,9.85,22.23,11.9,38.28,12.35,22.67,58.02,11.36,60.25
2008-03-26,103.42,9.02,22.5,12.13,37.5,12.05,23.04,57.24,11.27,64.0
2008-04-02,102.59,9.36,22.48,12.72,38.08,12.41,23.3,58.06,11.68,62.75
2008-04-09,101.6,8.96,23.32,13.39,39.35,12.77,24.33,59.94,11.52,67.12
2008-04-16,102.57,9.19,23.23,13.18,39.28,12.45,23.68,60.12,11.83,64.29
2008-04-23,101.73,9.27,23.42,13.5,40.55,12.75,23.57,60.34,11.83,66.59
2008-04-30,101.68,8.72,24.29,13.79,40.21,12.85,24.73,61.7,12.27,67.95
2008-05-07,102.1,8.38,24.82,13.75,40.49,13.4,26.25,62.45,12.12,67.8
2008-05-14,102.19,8.73,24.65,13.53,39.96,13.34,25.8,62.47,11.8,65.82
2008-05-21,102.16,8.71,25.43,13.66,40.59,13.57,26.77,63.84,11.78,68.49
2008-05-28,101.55,9.1,24.53,13.52,41.62,13.43,26.28,62.62,11.61,65.12
2008-06-04,100.62,8.66,25.25,13.56,41.48,13.36,26.87,63.25,11.42,66.42
2008-06-11,100.42,8.67,25.41,13.49,41.69,13.83,27.42,64.23,11.08,67.37
2008-06-18,99.45,8.57,24.07,12.74,40.92,12.85,25.24,61.64,10.94,62.84
2008-06-25,99.56,8.87,24.3,12.79,41.63,13.01,25.2,62.36,10.74,63.58
2008-07-02,100.11,9.04,23.08,12.26,40.07,12.38,23.9,59.4,10.3,58.73
2008-07-09,99.58,9.22,22.44,12.1,40.38,12.29,23.05,57.88,9.82,57.32
2008-07-16,100.8,9.33,22.43,12.3,40.8,12.15,23.2,57.84,10.01,56.42
2008-07-23,99.56,9.44,22.56,12.58,38.49,12.11,23.21,58.03,9.96,58.66
2008-07-30,99.97,9.16,22.05,12.51,38.1,12.29,23.5,57.33,10.01,58.4
2008-08-06,100.41,9.01,22.3,12.33,38.08,12.0,23.26,58.22,10.23,60.21
2008-08-13,99.84,8.6,22.87,11.77,36.95,11.46,22.76,58.27,9.83,60.09
2008-08-20,99.93,7.93,23.62,11.68,36.81,11.35,23.73,59.74,9.57,62.49
2008-08-27,100.49,8.24,23.0,11.4,37.75,11.38,23.33,59.18,9.19,59.04
2008-09-03,100.78,8.24,23.27,11.3,38.38,11.4,24.08,59.77,9.21,62.0
2008-09-10,101.04,7.84,21.52,10.46,36.15,10.95,23.44,56.05,8.89,61.28
2008-09-17,101.62,7.3,21.65,10.56,35.81,10.99,22.89,56.44,8.75,62.6
2008-09-24,100.55,8.32,20.77,10.11,34.21,10.73,21.34,54.33,8.42,63.09
2008-10-01,99.21,8.66,20.7,10.28,34.52,11.16,21.32,54.33,8.86,63.09
2008-10-08,97.88,8.22,18.9,9.36,32.61,10.08,19.58,54.33,8.33,63.09
2008-10-15,94.89,9.1,16.0,7.85,26.85,8.46,15.18,54.33,8.09,63.09
2008-10-22,93.75,7.94,16.7,7.95,27.27,8.86,15.98,54.33,7.67,63.09
2008-10-29,96.01,7.1,15.8,6.81,28.22,8.83,14.79,54.33,7.14,63.09
2008-11-05,96.26,7.26,16.75,7.25,29.7,9.01,15.77,54.33,7.12,63.09
2008-11-12,96.6,7.25,15.4,6.75,27.84,8.55,15.79,54.33,7.22,36.44
2008-11-19,96.69,7.2,15.52,7.14,29.5,9.09,16.14,40.11,7.36,35.85
2008-11-26,97.4,7.38,13.19,5.86,26.21,7.8,13.05,33.46,6.71,24.21
2008-12-03,98.45,8.03,15.25,6.8,30.12,8.66,16.53,39.19,7.04,32.08
2008-12-10,99.87,7.56,14.46,6.21,28.29,8.31,15.85,36.9,6.64,30.04
2008-12-17,100.46,8.07,15.17,6.97,28.72,8.92,16.07,38.15,7.0,30.88
2008-12-24,102.31,8.39,15.22,7.25,28.77,9.18,16.09,38.92,7.43,34.5
2008-12-31,103.67,8.57,14.93,6.79,28.08,9.17,15.99,38.23,7.12,35.3
2009-01-07,103.55,8.64,15.99,7.25,29.71,9.63,17.0,40.72,7.52,35.29
2009-01-14,102.86,8.44,15.9,7.11,29.31,9.34,17.46,40.3,7.52,34.89
2009-01-21,103.07,8.04,14.84,6.21,28.34,8.75,15.74,37.94,7.21,31.42
2009-01-28,102.08,8.47,14.68,6.4,28.71,8.58,15.7,37.51,6.98,30.24
2009-02-04,101.49,8.96,15.13,6.56,29.57,8.64,15.78,38.4,6.99,31.35
2009-02-11,100.68,9.02,15.44,6.43,29.7,8.64,15.63,39.05,7.12,29.11
2009-02-18,102.1,9.32,15.46,6.3,28.54,8.26,15.61,38.78,7.14,28.83
2009-02-25,101.5,9.58,14.4,5.97,26.85,7.72,14.9,36.87,7.05,24.4
2009-03-04,100.68,9.3,14.22,5.87,25.75,7.31,15.09,35.2,7.07,24.21
