"Type","LQD","IEF","IAU","MDY","VDE","EZA","IDU","FXI","VDC","RWR","IYF","VO","IBB","EWM","VNQ","Expected Value","CVaR","Trading Cost"
"Initial",0.00,483712.43,161973.93,0.00,32395.41,0.00,0.00,59219.48,258054.42,0.00,0.00,0.00,0.00,0.00,0.00,1003157.33,3105.22,0.00
"Risk Averse",0.00,483712.43,114416.59,0.00,32395.41,0.00,0.00,25257.70,339573.53,0.00,0.00,0.00,0.00,0.00,0.00,1001973.61,2392.81,181.52
"Risk Neutral",0.00,0.00,0.00,0.00,32395.41,0.00,0.00,962960.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1019527.81,36246.49,1807.48
