"symbol"
"SPY"
"MDY"
"EWJ"
"EWH"
"EWG"
"EWW"
"EWA"
"EWS"
"EWU"
"EWM"
"EWI"
"EWQ"
"EWD"
"EWN"
"EWK"
"XLF"
"XLK"
"XLE"
"XLP"
"XLU"
"XLB"
"EWY"
"IWB"
"IWM"
"IWF"
"IWD"
"IJH"
"IJR"
"IVW"
"IVE"
"IWV"
"IYF"
"IYZ"
"IYR"
"IYE"
"IDU"
"IYH"
"IYJ"
"IYY"
"IYM"
"IYK"
"IWN"
"IJJ"
"IJT"
"IWW"
"IWZ"
"EZU"
"IEV"
"SPYG"
"MTK"
"SLYV"
"SPYV"
"DGT"
"OEF"
"IBB"
"IGM"
"RWR"
"VTI"
"IGV"
"IWR"
"IWS"
"IXC"
"IXG"
"IXJ"
"LQD"
"IEF"
"FEZ"
"FEU"
"ADRE"
"ADRA"
"ADRU"
"EZA"
"EEM"
"RSP"
"AGG"
"ONEQ"
"DVY"
"TIP"
"ITOT"
"VO"
"VB"
"VUG"
"VBK"
"VBR"
"VPU"
"VDC"
"VAW"
"NY"
"NYC"
"JKE"
"JKD"
"JKL"
"JKF"
"JKG"
"JKH"
"VNQ"
"VDE"
"VIS"
"FXI"
"IAU"
